Date,Year,Passengers,,,,,
12/10,2020,"795,786",,,,,
12/11,2020,"831,174",,,,,
12/12,2020,"702,110",,,,,
12/13,2020,"906,851",,,,,
12/14,2020,"794,950",,,,,
12/15,2020,"617,134",,,,,
12/16,2020,"679,523",,,,,
12/17,2020,"901,503",,,,,
12/18,2020,"1,121,876",,,,,
12/19,2020,"1,121,855",,,,,
12/20,2020,"1,111,609",,,,,
12/21,2020,"1,002,953",,,,,
12/22,2020,"1,043,366",,,,,
12/23,2020,"1,244,556",,,,,
12/24,2020,"885,065",,,,,
12/25,2020,"683,838",,,,,
12/26,2020,"1,181,793",,,,,
12/27,2020,"1,334,030",,,,,
12/28,2020,"1,161,059",,,,,
12/29,2020,"1,069,787",,,,,
12/30,2020,"1,215,423",,,,,
12/31,2020,"914,456",,,,,
1/1,2021,"849,514",,,,,
1/2,2021,"1,246,953",,,,,
1/3,2021,"1,381,448",,,,,
1/4,2021,"1,130,546",,,,,
1/5,2021,"807,837",,,,,
1/6,2021,"705,249",,,,,
1/7,2021,"814,928",,,,,
1/8,2021,"816,271",,,,,
1/9,2021,"750,419",,,,,
1/10,2021,"929,661",,,,,
1/11,2021,"750,407",,,,,
1/12,2021,"557,517",,,,,
1/13,2021,"605,887",,,,,
1/14,2021,"848,662",,,,,
1/15,2021,"945,703",,,,,
1/16,2021,"729,703",,,,,
1/17,2021,"852,305",,,,,
1/18,2021,"921,897",,,,,
1/19,2021,"597,159",,,,,
1/20,2021,"581,771",,,,,
1/21,2021,"772,086",,,,,
1/22,2021,"799,000",,,,,
1/23,2021,"644,793",,,,,
1/24,2021,"882,180",,,,,
1/25,2021,"744,876",,,,,
1/26,2021,"508,467",,,,,
1/27,2021,"574,099",,,,,
1/28,2021,"794,944",,,,,
1/29,2021,"818,691",,,,,
1/30,2021,"656,800",,,,,
1/31,2021,"903,496",,,,,
2/1,2021,"671,916",,,,,
